GEO_ID|B01003_E001|B01003_M001
1400000US36005025700|1687|433
1400000US36005026100|2109|292
1400000US36005026300|6767|1070
1400000US36005026400|5735|839
1400000US36005026500|7792|1328
1400000US36005026601|2864|424
1400000US36005026602|5119|929
1400000US36005026701|3759|886
1400000US36005026702|7702|1092
1400000US36005026900|4185|572
1400000US36005027300|7120|1022
1400000US36005027401|5111|715
1400000US36005027402|3487|571
1400000US36005027600|57|85
1400000US36005027700|4188|675
1400000US36005027900|8112|1399
1400000US36005028100|3512|442
1400000US36005028300|2486|981
1400000US36005028400|480|49
1400000US36005028500|3309|471
1400000US36005028600|1014|212
1400000US36005028700|3442|467
1400000US36005028800|2678|737
1400000US36005028900|4400|707
1400000US36005029301|1847|195
1400000US36005029302|5422|823
1400000US36005029500|4639|972
1400000US36005029600|2341|278
1400000US36005029700|4171|405
1400000US36005030000|6811|941
1400000US36005030100|1570|173
1400000US36005030201|3684|599
1400000US36005030202|6152|1161
1400000US36005030701|5492|949
1400000US36005030900|3707|401
1400000US36005031000|4409|624
1400000US36005031200|1649|334
1400000US36005031400|2186|348
1400000US36005031600|1842|312
1400000US36005031800|2038|392
1400000US36005031900|762|36
1400000US36005032300|4811|583
1400000US36005032400|2963|557
1400000US36005032600|3440|585
1400000US36005032800|4056|588
1400000US36005033000|5016|836
1400000US36005033201|4123|643
1400000US36005033202|3415|487
1400000US36005033400|26|35
1400000US36005033500|2213|201
1400000US36005033601|5011|719
1400000US36005033602|1155|298
1400000US36005033700|2852|362
1400000US36005033801|2119|519
1400000US36005033802|1809|533
1400000US36005034000|5337|851
1400000US36005034200|1518|481
1400000US36005034300|1854|298
1400000US36005034400|1940|640
1400000US36005034500|4155|656
1400000US36005034800|6198|1156
1400000US36005035000|2023|373
1400000US36005035100|3723|463
1400000US36005035600|2074|329
1400000US36005035800|7495|1282
1400000US36005035900|3261|475
1400000US36005036000|2836|512
1400000US36005036100|5093|959
1400000US36005036300|6423|1089
1400000US36005036400|2427|396
1400000US36005036501|4721|765
1400000US36005036502|2557|544
1400000US36005036700|2647|410
1400000US36005036800|2185|396
1400000US36005036901|1810|347
1400000US36005036902|2316|257
1400000US36005037000|2228|474
1400000US36005037100|3948|830
1400000US36005037200|2069|395
1400000US36005037300|6511|1327
1400000US36005037400|3707|784
1400000US36005037504|3831|516
1400000US36005037600|1934|299
1400000US36005037800|3254|629
1400000US36005037900|6511|1239
1400000US36005038000|4474|739
1400000US36005038100|7378|1234
1400000US36005038200|2942|447
1400000US36005038301|4667|549
1400000US36005038303|3621|805
1400000US36005038304|2080|419
1400000US36005038500|5574|828
1400000US36005038600|8273|1390
1400000US36005038700|3725|378
1400000US36005038800|2793|476
1400000US36005038900|5823|746
1400000US36005039000|3093|746
1400000US36005039100|6555|1130
1400000US36005039200|1522|372
1400000US36005039300|9019|1477
1400000US36005039400|4473|651
1400000US36005039500|4210|860
1400000US36005039600|3837|654
1400000US36005039700|3868|151
1400000US36005039800|3528|759
1400000US36005039901|5032|635
1400000US36005039902|5116|785
1400000US36005040100|4630|738
1400000US36005040302|4389|1421
1400000US36005040303|4076|394
1400000US36005040304|3586|618
1400000US36005040400|3499|805
1400000US36005040501|3560|525
1400000US36005040502|6100|1152
1400000US36005040600|3802|715
1400000US36005040701|2779|639
1400000US36005040702|6840|741
1400000US36005040800|4438|821
1400000US36005040900|3392|579
1400000US36005041100|3793|608
1400000US36005041300|8001|983
1400000US36005041400|5318|862
1400000US36005041500|5706|768
1400000US36005041800|3713|727
1400000US36005041900|6219|681
1400000US36005042000|4665|841
1400000US36005042100|5954|912
1400000US36005042200|2836|667
1400000US36005042300|4378|578
1400000US36005042400|2626|555
1400000US36005042500|6749|1137
1400000US36005042600|7627|1477
1400000US36005042800|2249|474
1400000US36005042901|3128|521
1400000US36005042902|3898|414
1400000US36005043000|3287|869
1400000US36005043101|4880|1229
1400000US36005043102|4341|673
1400000US36005043400|3829|658
1400000US36005043501|1035|142
1400000US36005043502|0|13
1400000US36005043503|56|29
1400000US36005043600|2397|533
1400000US36005044200|4055|1230
1400000US36005044400|4409|953
1400000US36005044800|2449|570
1400000US36005044901|1986|322
1400000US36005044902|2303|368
1400000US36005045101|1602|328
1400000US36005045102|1973|413
1400000US36005045600|3548|586
1400000US36005045800|5671|836
1400000US36005046000|2489|569
1400000US36005046203|7120|1571
1400000US36005046204|5311|1082
1400000US36005046205|3495|386
1400000US36005046206|4365|712
1400000US36005046207|6488|1537
1400000US36005046208|5042|947
1400000US36005046209|4309|1541
1400000US36005048401|4192|827
1400000US36005048402|0|13
1400000US36005050400|0|13
1400000US36005051601|4273|867
1400000US36005051602|0|13
1400000US36047000100|4839|612
1400000US36047000200|1203|247
1400000US36047000301|4031|710
1400000US36047000501|4504|436
1400000US36047000502|2787|275
1400000US36047000700|3983|494
1400000US36047000900|4792|563
1400000US36047001100|1585|261
1400000US36047001300|2408|353
1400000US36047001501|4925|533
1400000US36047001502|5418|746
1400000US36047001801|1564|93
1400000US36047001802|0|13
1400000US36047001803|6|1
1400000US36047001804|0|13
1400000US36047002000|1795|590
1400000US36047002100|6180|1141
1400000US36047002200|4155|756
1400000US36047002300|3642|796
1400000US36047002901|3340|492
1400000US36047003000|1818|268
1400000US36047003101|3547|411
1400000US36047003102|0|13
1400000US36047003300|4203|582
1400000US36047003400|3515|544
1400000US36047003500|2125|228
1400000US36047003600|3702|402
1400000US36047003700|4276|457
1400000US36047003800|1578|310
1400000US36047003900|2557|451
1400000US36047004100|3364|466
1400000US36047004300|3952|401
1400000US36047004400|2289|304
1400000US36047004500|3547|612
1400000US36047004600|1175|252
1400000US36047004700|2001|315
1400000US36047004900|2875|418
1400000US36047005000|2542|318
1400000US36047005100|2425|549
1400000US36047005201|1713|240
1400000US36047005202|2784|315
1400000US36047005301|2262|405
