GEO_ID|B05009_E001|B05009_M001|B05009_E002|B05009_M002|B05009_E003|B05009_M003|B05009_E004|B05009_M004|B05009_E005|B05009_M005|B05009_E006|B05009_M006|B05009_E007|B05009_M007|B05009_E008|B05009_M008|B05009_E009|B05009_M009|B05009_E010|B05009_M010|B05009_E011|B05009_M011|B05009_E012|B05009_M012|B05009_E013|B05009_M013|B05009_E014|B05009_M014|B05009_E015|B05009_M015|B05009_E016|B05009_M016|B05009_E017|B05009_M017|B05009_E018|B05009_M018|B05009_E019|B05009_M019|B05009_E020|B05009_M020|B05009_E021|B05009_M021|B05009_E022|B05009_M022|B05009_E023|B05009_M023|B05009_E024|B05009_M024|B05009_E025|B05009_M025|B05009_E026|B05009_M026|B05009_E027|B05009_M027|B05009_E028|B05009_M028|B05009_E029|B05009_M029|B05009_E030|B05009_M030|B05009_E031|B05009_M031|B05009_E032|B05009_M032|B05009_E033|B05009_M033|B05009_E034|B05009_M034|B05009_E035|B05009_M035|B05009_E036|B05009_M036|B05009_E037|B05009_M037
1400000US36047015700|981|237|608|218|608|218|592|221|16|25|335|173|146|147|130|145|16|25|127|109|127|109|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|373|159|275|149|275|149|0|13|147|117|21|32|21|32|0|13|107|114|107|114|0|13|98|88|90|85|8|15|90|85|8|15|0|13|8|15
1400000US36047015900|907|199|527|230|519|231|519|231|0|19|332|177|69|96|69|96|0|19|118|161|118|161|0|19|8|21|8|21|0|19|8|21|0|19|0|19|0|19|380|152|380|152|366|142|14|26|250|162|101|98|87|102|14|26|29|46|29|46|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19
1400000US36047016000|737|302|325|223|294|220|294|220|0|13|81|93|94|82|94|82|0|13|119|187|119|187|0|13|31|36|14|24|17|26|14|24|17|26|0|13|17|26|412|178|307|160|289|155|18|25|93|71|132|129|114|120|18|25|82|87|82|87|0|13|105|85|95|82|10|18|67|70|38|45|28|42|10|18
1400000US36047016100|516|122|219|113|156|81|156|81|0|13|68|56|26|31|26|31|0|13|62|66|62|66|0|13|63|87|63|87|0|13|0|13|63|87|63|87|0|13|297|93|214|76|214|76|0|13|145|76|29|26|29|26|0|13|40|44|40|44|0|13|83|70|83|70|0|13|18|29|65|67|65|67|0|13
1400000US36047016200|368|148|101|67|41|65|41|65|0|13|41|65|0|13|0|13|0|13|0|13|0|13|0|13|60|64|60|64|0|13|0|13|60|64|60|64|0|13|267|113|155|101|155|101|0|13|89|65|0|13|0|13|0|13|66|87|66|87|0|13|112|121|112|121|0|13|0|13|112|121|112|121|0|13
1400000US36047016300|849|290|607|277|576|279|576|279|0|13|447|272|129|114|129|114|0|13|0|13|0|13|0|13|31|49|31|49|0|13|31|49|0|13|0|13|0|13|242|101|205|95|192|93|13|21|173|92|0|13|0|13|0|13|32|38|32|38|0|13|37|42|37|42|0|13|26|39|11|17|11|17|0|13
1400000US36047016400|272|131|104|58|80|46|80|46|0|13|67|43|13|18|13|18|0|13|0|13|0|13|0|13|24|34|24|34|0|13|0|13|24|34|24|34|0|13|168|103|157|102|157|102|0|13|133|96|24|36|24|36|0|13|0|13|0|13|0|13|11|16|11|16|0|13|0|13|11|16|11|16|0|13
1400000US36047016500|1513|405|493|173|493|173|493|173|0|19|298|161|23|36|23|36|0|19|172|124|172|124|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|1020|349|860|328|770|304|90|104|456|260|224|173|134|126|90|104|180|135|180|135|0|19|160|108|98|93|62|91|121|115|39|66|39|66|0|19
1400000US36047016600|343|95|129|79|129|79|129|79|0|13|48|40|37|37|37|37|0|13|44|62|44|62|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|214|100|195|95|195|95|0|13|46|38|41|48|41|48|0|13|108|82|108|82|0|13|19|27|19|27|0|13|0|13|19|27|19|27|0|13
1400000US36047016700|819|226|370|191|351|187|351|187|0|13|288|186|49|76|49|76|0|13|14|25|14|25|0|13|19|31|19|31|0|13|0|13|19|31|19|31|0|13|449|178|352|146|314|133|38|60|236|117|78|106|78|106|0|13|38|60|0|13|38|60|97|109|97|109|0|13|79|106|18|32|18|32|0|13
1400000US36047016800|377|112|132|59|130|59|130|59|0|13|11|15|93|49|93|49|0|13|26|29|26|29|0|13|2|8|2|8|0|13|2|8|0|13|0|13|0|13|245|90|148|79|146|78|2|5|42|29|87|70|85|70|2|5|19|29|19|29|0|13|97|57|97|57|0|13|71|60|26|36|26|36|0|13
1400000US36047016900|841|331|283|174|265|171|265|171|0|13|84|72|9|16|9|16|0|13|172|149|172|149|0|13|18|28|18|28|0|13|18|28|0|13|0|13|0|13|558|271|492|255|484|254|8|14|291|224|73|91|65|80|8|14|128|106|128|106|0|13|66|75|66|75|0|13|66|75|0|13|0|13|0|13
1400000US36047017000|678|247|166|121|166|121|166|121|0|13|0|13|112|113|112|113|0|13|54|49|54|49|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|512|224|473|230|466|233|7|12|38|51|281|164|274|164|7|12|154|169|154|169|0|13|39|60|39|60|0|13|0|13|39|60|39|60|0|13
1400000US36047017100|1216|363|329|138|291|136|291|136|0|13|190|119|31|33|31|33|0|13|70|80|70|80|0|13|38|50|38|50|0|13|0|13|38|50|38|50|0|13|887|347|438|158|343|142|95|101|314|147|110|102|15|25|95|101|14|22|14|22|0|13|449|322|449|322|0|13|218|212|231|331|231|331|0|13
1400000US36047017200|580|207|305|142|289|142|289|142|0|13|108|96|181|109|181|109|0|13|0|13|0|13|0|13|16|26|16|26|0|13|16|26|0|13|0|13|0|13|275|150|242|147|242|147|0|13|11|18|172|113|172|113|0|13|59|92|59|92|0|13|33|45|31|45|2|3|31|45|2|3|0|13|2|3
