GEO_ID|B04006_E001|B04006_M001|B04006_E002|B04006_M002|B04006_E003|B04006_M003|B04006_E004|B04006_M004|B04006_E005|B04006_M005|B04006_E006|B04006_M006|B04006_E007|B04006_M007|B04006_E008|B04006_M008|B04006_E009|B04006_M009|B04006_E010|B04006_M010|B04006_E011|B04006_M011|B04006_E012|B04006_M012|B04006_E013|B04006_M013|B04006_E014|B04006_M014|B04006_E015|B04006_M015|B04006_E016|B04006_M016|B04006_E017|B04006_M017|B04006_E018|B04006_M018|B04006_E019|B04006_M019|B04006_E020|B04006_M020|B04006_E021|B04006_M021|B04006_E022|B04006_M022|B04006_E023|B04006_M023|B04006_E024|B04006_M024|B04006_E025|B04006_M025|B04006_E026|B04006_M026|B04006_E027|B04006_M027|B04006_E028|B04006_M028|B04006_E029|B04006_M029|B04006_E030|B04006_M030|B04006_E031|B04006_M031|B04006_E032|B04006_M032|B04006_E033|B04006_M033|B04006_E034|B04006_M034|B04006_E035|B04006_M035|B04006_E036|B04006_M036|B04006_E037|B04006_M037|B04006_E038|B04006_M038|B04006_E039|B04006_M039|B04006_E040|B04006_M040|B04006_E041|B04006_M041|B04006_E042|B04006_M042|B04006_E043|B04006_M043|B04006_E044|B04006_M044|B04006_E045|B04006_M045|B04006_E046|B04006_M046|B04006_E047|B04006_M047|B04006_E048|B04006_M048|B04006_E049|B04006_M049|B04006_E050|B04006_M050|B04006_E051|B04006_M051|B04006_E052|B04006_M052|B04006_E053|B04006_M053|B04006_E054|B04006_M054|B04006_E055|B04006_M055|B04006_E056|B04006_M056|B04006_E057|B04006_M057|B04006_E058|B04006_M058|B04006_E059|B04006_M059|B04006_E060|B04006_M060|B04006_E061|B04006_M061|B04006_E062|B04006_M062|B04006_E063|B04006_M063|B04006_E064|B04006_M064|B04006_E065|B04006_M065|B04006_E066|B04006_M066|B04006_E067|B04006_M067|B04006_E068|B04006_M068|B04006_E069|B04006_M069|B04006_E070|B04006_M070|B04006_E071|B04006_M071|B04006_E072|B04006_M072|B04006_E073|B04006_M073|B04006_E074|B04006_M074|B04006_E075|B04006_M075|B04006_E076|B04006_M076|B04006_E077|B04006_M077|B04006_E078|B04006_M078|B04006_E079|B04006_M079|B04006_E080|B04006_M080|B04006_E081|B04006_M081|B04006_E082|B04006_M082|B04006_E083|B04006_M083|B04006_E084|B04006_M084|B04006_E085|B04006_M085|B04006_E086|B04006_M086|B04006_E087|B04006_M087|B04006_E088|B04006_M088|B04006_E089|B04006_M089|B04006_E090|B04006_M090|B04006_E091|B04006_M091|B04006_E092|B04006_M092|B04006_E093|B04006_M093|B04006_E094|B04006_M094|B04006_E095|B04006_M095|B04006_E096|B04006_M096|B04006_E097|B04006_M097|B04006_E098|B04006_M098|B04006_E099|B04006_M099|B04006_E100|B04006_M100|B04006_E101|B04006_M101|B04006_E102|B04006_M102|B04006_E103|B04006_M103|B04006_E104|B04006_M104|B04006_E105|B04006_M105|B04006_E106|B04006_M106|B04006_E107|B04006_M107|B04006_E108|B04006_M108|B04006_E109|B04006_M109
1400000US36005000100|3538|1209|0|13|0|13|0|13|104|66|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|7|14|0|13|0|13|0|13|0|13|0|13|7|14|27|145|21|29|0|13|0|13|17|23|0|13|0|13|0|13|14|72|0|13|43|142|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|14|72|7|14|0|13|0|13|0|13|0|13|14|26|0|13|0|13|0|13|0|13|0|13|38|32|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|38|32|0|13|0|13|0|13|0|13|0|13|0|13|41|38|0|13|0|13|0|13|0|13|0|13|0|13|16|23|14|22|11|19|0|13|0|13|0|13|5|26|2360|609|891|810
1400000US36005000200|5177|721|0|19|0|19|0|19|47|36|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|57|93|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|20|32|0|19|0|19|20|32|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|160|178|0|19|0|19|0|19|0|19|0|19|160|178|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|585|265|0|19|0|19|0|19|0|19|0|19|0|19|0|19|509|242|33|53|39|99|43|75|0|19|0|19|2963|574|1444|624
1400000US36005000400|6481|1051|0|19|0|19|0|19|67|63|1|2|1|2|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|22|34|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|18|33|0|19|0|19|0|19|12|20|47|73|52|93|0|19|0|19|69|93|0|19|0|19|0|19|123|183|0|19|116|104|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|26|44|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|134|147|0|19|0|19|76|121|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|58|85|0|19|0|19|0|19|0|19|0|19|0|19|350|233|0|19|0|19|0|19|0|19|72|69|0|19|1|2|297|235|0|19|0|19|18|32|0|19|0|19|3559|1195|2201|884
1400000US36005001600|6011|715|14|23|0|19|0|19|67|74|36|49|36|49|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|13|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|11|16|0|19|0|19|0|19|16|21|0|19|20|32|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|33|54|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|641|412|0|19|0|19|385|374|0|19|0|19|76|110|0|19|58|93|0|19|0|19|0|19|0|19|0|19|157|123|0|19|0|19|0|19|0|19|0|19|0|19|141|130|0|19|72|114|0|19|0|19|0|19|0|19|0|19|69|73|0|19|0|19|0|19|0|19|0|19|3937|593|1228|565
1400000US36005001901|2401|345|0|13|0|13|0|13|101|90|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|23|33|0|13|0|13|0|13|21|26|0|13|76|52|0|13|0|13|16|23|0|13|0|13|0|13|25|23|0|13|71|68|18|26|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|47|49|36|55|0|13|12|19|0|13|0|13|14|21|0|13|0|13|0|13|0|13|0|13|90|94|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|90|94|0|13|0|13|0|13|0|13|14|21|21|25|266|219|0|13|15|22|13|28|0|13|180|199|0|13|27|42|4|6|11|64|0|13|20|30|0|13|0|13|1214|306|679|285
1400000US36005001902|1979|366|0|13|0|13|0|13|23|31|24|39|24|39|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|11|17|8|12|8|12|0|13|0|13|0|13|0|13|0|13|0|13|29|44|0|13|29|37|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|10|14|0|13|17|23|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|4|9|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|4|9|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|44|46|0|13|0|13|4|9|0|13|11|20|0|13|0|13|10|17|19|39|0|13|0|13|0|13|0|13|1096|387|745|288
1400000US36005001903|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13
1400000US36005001904|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13
1400000US36005002001|4300|783|0|13|0|13|0|13|43|57|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|11|36|0|13|0|13|156|214|0|13|0|13|0|13|0|13|0|13|12|26|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|12|24|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|98|119|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|98|119|0|13|0|13|0|13|0|13|0|13|0|13|242|208|0|13|0|13|0|13|0|13|0|13|0|13|0|13|138|155|0|13|0|13|104|155|0|13|0|13|3235|907|696|395
1400000US36005002002|3689|1034|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|13|21|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|13|21|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|2062|656|1627|801
